t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,class
233,267,269,270,315,364,347,312,274,237,278,284,3
267,269,270,315,364,347,312,274,237,278,284,277,3
269,270,315,364,347,312,274,237,278,284,277,317,3
270,315,364,347,312,274,237,278,284,277,317,313,3
315,364,347,312,274,237,278,284,277,317,313,318,4
364,347,312,274,237,278,284,277,317,313,318,374,4
347,312,274,237,278,284,277,317,313,318,374,413,4
312,274,237,278,284,277,317,313,318,374,413,405,3
274,237,278,284,277,317,313,318,374,413,405,355,3
237,278,284,277,317,313,318,374,413,405,355,306,1
278,284,277,317,313,318,374,413,405,355,306,271,3
284,277,317,313,318,374,413,405,355,306,271,306,3
277,317,313,318,374,413,405,355,306,271,306,315,3
317,313,318,374,413,405,355,306,271,306,315,301,3
313,318,374,413,405,355,306,271,306,315,301,356,3
318,374,413,405,355,306,271,306,315,301,356,348,3
374,413,405,355,306,271,306,315,301,356,348,355,4
413,405,355,306,271,306,315,301,356,348,355,422,4
405,355,306,271,306,315,301,356,348,355,422,465,4
355,306,271,306,315,301,356,348,355,422,465,467,4
306,271,306,315,301,356,348,355,422,465,467,404,3
271,306,315,301,356,348,355,422,465,467,404,347,3
306,315,301,356,348,355,422,465,467,404,347,305,3
315,301,356,348,355,422,465,467,404,347,305,336,3
301,356,348,355,422,465,467,404,347,305,336,340,3
356,348,355,422,465,467,404,347,305,336,340,318,3
348,355,422,465,467,404,347,305,336,340,318,362,3
355,422,465,467,404,347,305,336,340,318,362,348,3
422,465,467,404,347,305,336,340,318,362,348,363,4
465,467,404,347,305,336,340,318,362,348,363,435,4
467,404,347,305,336,340,318,362,348,363,435,491,4
404,347,305,336,340,318,362,348,363,435,491,505,4
347,305,336,340,318,362,348,363,435,491,505,404,3
305,336,340,318,362,348,363,435,491,505,404,359,3
336,340,318,362,348,363,435,491,505,404,359,310,3
340,318,362,348,363,435,491,505,404,359,310,337,3
318,362,348,363,435,491,505,404,359,310,337,360,3
362,348,363,435,491,505,404,359,310,337,360,342,4
348,363,435,491,505,404,359,310,337,360,342,406,4
363,435,491,505,404,359,310,337,360,342,406,396,4
435,491,505,404,359,310,337,360,342,406,396,420,4
491,505,404,359,310,337,360,342,406,396,420,472,4
505,404,359,310,337,360,342,406,396,420,472,548,4
404,359,310,337,360,342,406,396,420,472,548,559,4
359,310,337,360,342,406,396,420,472,548,559,463,4
310,337,360,342,406,396,420,472,548,559,463,407,3
337,360,342,406,396,420,472,548,559,463,407,362,4
360,342,406,396,420,472,548,559,463,407,362,405,4
342,406,396,420,472,548,559,463,407,362,405,417,4
406,396,420,472,548,559,463,407,362,405,417,391,4
396,420,472,548,559,463,407,362,405,417,391,419,4
420,472,548,559,463,407,362,405,417,391,419,461,4
472,548,559,463,407,362,405,417,391,419,461,472,4
548,559,463,407,362,405,417,391,419,461,472,535,4
559,463,407,362,405,417,391,419,461,472,535,622,4
463,407,362,405,417,391,419,461,472,535,622,606,4
407,362,405,417,391,419,461,472,535,622,606,508,4
362,405,417,391,419,461,472,535,622,606,508,461,4
405,417,391,419,461,472,535,622,606,508,461,390,4
